image_id,healthy,multiple_diseases,rust,scab
Test_0,1.2380674e-07,1.7760165e-08,0.9999999,2.1299698e-10
Test_1,4.8114384e-06,1.9072912e-06,0.9999933,9.486381e-09
Test_2,7.402335e-10,7.719135e-09,3.5936716e-12,1.0
Test_3,0.99226135,0.004605938,0.0012081111,0.0019245982
Test_4,1.7874407e-07,1.0507391e-07,0.99999976,2.625335e-10
Test_5,0.9550376,0.032257143,0.0075421906,0.005163088
Test_6,0.9818605,0.014242875,0.0023341656,0.0015625138
Test_7,4.1084888e-07,1.8892957e-06,5.0207127e-09,0.99999774
Test_8,0.035661522,0.2589377,0.022909544,0.68249124
Test_9,0.00466816,0.0024421774,0.99263364,0.00025603175
Test_10,0.009015241,0.00096197415,0.9899738,4.9007016e-05
Test_11,0.98976505,0.008169196,0.0012076419,0.00085818133
Test_12,0.98951346,0.003513842,0.001391478,0.0055811913
Test_13,0.99937433,0.000510207,5.6751036e-05,5.8743008e-05
Test_14,8.021581e-06,9.530166e-07,0.99999106,8.718882e-09
Test_15,0.00068747153,0.00032363378,0.9989631,2.5731279e-05
Test_16,0.98979455,0.006991864,0.0015154495,0.0016980867
Test_17,2.0435846e-06,3.3016244e-05,8.6688615e-08,0.99996483
Test_18,0.66191214,0.04323268,0.028918529,0.26593664
Test_19,2.0848469e-15,1.2511496e-17,1.0,1.0344753e-21
Test_20,0.00014640365,0.00013889285,3.1230481e-06,0.9997116
Test_21,0.9932585,0.0044484367,0.0010292663,0.0012639026
Test_22,2.7142888e-14,1.9540613e-16,1.0,3.2371565e-20
Test_23,2.491764e-07,7.208164e-07,2.8154448e-09,0.99999905
Test_24,0.91950375,0.06421981,0.010225953,0.0060504433
Test_25,0.57177573,0.06123737,0.037169274,0.32981762
Test_26,1.8752653e-06,2.3836947e-06,2.5561897e-08,0.9999957
Test_27,0.09259822,0.38682383,0.47870034,0.041877557
Test_28,0.9995665,0.00034492835,4.0304523e-05,4.830845e-05
Test_29,0.00431077,0.010913162,0.0011010262,0.98367506
Test_30,0.9695209,0.013554895,0.005361315,0.01156295
Test_31,0.0012290585,0.014256016,0.9844694,4.547703e-05
Test_32,0.01061577,0.030993806,0.0041152253,0.95427525
Test_33,4.2669225e-08,1.8530338e-07,2.9283145e-10,0.99999976
Test_34,1.0530891e-05,2.7986207e-05,3.2149745e-07,0.99996114
Test_35,5.0969277e-07,2.0083596e-06,9.039376e-09,0.9999975
Test_36,6.06983e-09,4.2002463e-10,1.0,1.475653e-12
Test_37,0.26242858,0.09221891,0.038685117,0.6066674
Test_38,0.09594826,0.03869107,0.00844952,0.8569111
Test_39,6.939507e-08,6.4392776e-09,0.9999999,1.1954773e-10
Test_40,7.3730185e-08,5.9237166e-09,0.9999999,9.5265046e-11
Test_41,7.539426e-10,5.5613847e-11,1.0,7.68452e-14
Test_42,8.963701e-07,2.9535577e-06,7.953541e-09,0.9999962
Test_43,0.10977664,0.17976627,0.061198942,0.64925814
Test_44,0.000107687076,9.103618e-05,4.355798e-06,0.9997969
Test_45,0.00019201104,0.00027249753,1.3179024e-05,0.9995223
Test_46,0.26959208,0.4881699,0.12803125,0.11420672
Test_47,3.9297924e-13,6.9631495e-15,1.0,4.14028e-18
Test_48,6.0344346e-10,3.787569e-11,1.0,5.684634e-14
Test_49,0.017620485,0.0037701896,0.9781432,0.00046604336
Test_50,6.515888e-05,2.3534973e-05,0.9999107,6.356903e-07
Test_51,2.7943283e-06,7.5785323e-07,0.9999964,1.0793704e-08
Test_52,0.2568944,0.1664037,0.56066966,0.016032275
Test_53,2.0786617e-14,1.9119656e-16,1.0,2.6158054e-20
Test_54,0.84767765,0.06261411,0.026321921,0.06338637
Test_55,4.455813e-06,2.0658425e-05,1.1624187e-07,0.9999747
Test_56,0.2319186,0.0254565,0.008733382,0.73389155
Test_57,0.94954926,0.012053671,0.007263632,0.031133443
Test_58,1.6807884e-06,3.269775e-05,6.178497e-08,0.99996555
Test_59,6.0654693e-12,1.2573051e-13,1.0,1.3130763e-16
Test_60,1.7769853e-08,1.9503928e-07,2.3235189e-10,0.99999976
Test_61,0.94392884,0.035891514,0.010190504,0.009989057
Test_62,0.09282795,0.19004266,0.047276177,0.66985315
Test_63,4.6610527e-08,1.7149091e-07,2.6843705e-10,0.99999976
Test_64,0.9499439,0.015002877,0.007813343,0.027239835
Test_65,4.763967e-05,7.24667e-05,0.99987936,5.167185e-07
Test_66,0.87360287,0.08512277,0.022082174,0.019192137
Test_67,6.2468815e-12,1.5457714e-13,1.0,1.1583925e-16
Test_68,0.0013838243,0.0067472807,0.00016788975,0.99170095
Test_69,3.3016728e-05,5.469236e-06,0.9999614,6.9578604e-08
Test_70,3.6718036e-06,2.4572939e-05,2.2289002e-07,0.9999715
Test_71,0.87894106,0.073332086,0.043013785,0.0047131376
Test_72,0.0004971787,0.00069505494,2.623669e-05,0.9987815
Test_73,0.99969995,0.00021745761,2.9860255e-05,5.2732805e-05
Test_74,0.98010033,0.012777305,0.0031120265,0.0040102657
Test_75,0.003990594,0.008364768,0.0013157498,0.9863289
Test_76,0.99693054,0.0023481888,0.0003605672,0.00036065115
Test_77,0.002286308,0.00087143324,0.99682,2.2162252e-05
Test_78,3.1660716e-07,2.739522e-06,6.9040214e-09,0.9999969
Test_79,0.53399473,0.24715832,0.16277729,0.056069635
Test_80,0.0155304475,0.069063336,0.9095283,0.0058779446
Test_81,4.8814486e-06,1.2102729e-06,0.9999939,1.44490455e-08
Test_82,0.00038136242,0.0053925277,0.006917407,0.9873087
Test_83,1.0741867e-07,1.6883115e-08,0.9999999,3.170893e-10
Test_84,0.06580474,0.005619971,0.0013393,0.927236
Test_85,0.89313465,0.04758786,0.021433206,0.037844308
Test_86,0.006450255,0.3669678,0.6255488,0.001033119
Test_87,0.21642277,0.031163948,0.013130188,0.7392831
Test_88,0.091232516,0.04963912,0.010123113,0.8490052
Test_89,0.9418734,0.005722866,0.0031887405,0.049214896
Test_90,2.0870978e-16,7.7818484e-19,1.0,4.051015e-23
Test_91,0.99940765,0.0004795857,5.336882e-05,5.940196e-05
Test_92,0.9936314,0.004367652,0.0009272382,0.0010738056
Test_93,9.742614e-09,4.5652762e-10,1.0,2.0320963e-12
Test_94,5.072557e-07,5.5358914e-06,1.4886199e-08,0.9999939
Test_95,0.97902083,0.017730728,0.0022021362,0.0010463235
Test_96,3.0263374e-05,5.1217306e-05,9.427629e-07,0.9999176
Test_97,0.99868983,0.0010473396,0.00012653742,0.00013630619
Test_98,0.010774516,0.9406178,0.018534433,0.030073255
Test_99,0.0030679137,0.004126597,0.0005842938,0.9922212
Test_100,1.38531905e-05,2.6431248e-05,2.1701271e-07,0.99995947
Test_101,0.7141711,0.042296745,0.023915758,0.21961643
Test_102,5.609719e-06,1.022308e-05,1.17654466e-07,0.999984
Test_103,0.22900301,0.08894085,0.030341648,0.65171444
Test_104,8.083918e-06,4.9964445e-05,3.0218158e-07,0.9999416
Test_105,0.019338075,0.0055563385,0.0009119009,0.97419363
Test_106,0.99751925,0.0018341403,0.00029789822,0.00034880813
Test_107,2.5091015e-07,4.5262805e-08,0.99999976,1.1679894e-09
Test_108,0.0039176038,0.0005718246,4.5115903e-05,0.99546546
Test_109,0.40114126,0.4081463,0.12253568,0.068176694
Test_110,0.9952604,0.0036968675,0.0005174179,0.0005253421
Test_111,0.041534603,0.03789258,0.008916885,0.91165596
Test_112,7.322615e-10,3.7663025e-11,1.0,1.7189781e-13
Test_113,0.016337095,0.039457235,0.004864379,0.9393413
Test_114,9.475908e-07,5.9503427e-06,3.078638e-08,0.9999931
Test_115,6.472551e-06,5.4593477e-07,0.99999297,8.790885e-09
Test_116,0.0034485965,0.005383689,0.98503876,0.0061289617
Test_117,8.0407155e-08,1.6276207e-08,0.9999999,4.127332e-11
Test_118,9.351334e-12,1.4452625e-13,1.0,6.796032e-17
Test_119,0.9849172,0.011794651,0.0019797499,0.0013083114
Test_120,3.4878746e-11,5.7392405e-13,1.0,7.3117483e-16
Test_121,7.4766656e-05,9.7106185e-06,0.99991524,2.2983136e-07
Test_122,4.1273993e-09,4.0584663e-10,1.0,1.7654149e-12
Test_123,4.3874245e-08,4.8733586e-09,1.0,2.619362e-11
Test_124,1.1870618e-05,1.3039985e-05,1.0395956e-07,0.99997497
Test_125,0.65565497,0.09800414,0.053503305,0.1928376
Test_126,0.9857041,0.010998039,0.002584803,0.0007131331
Test_127,0.23418947,0.13515298,0.055649415,0.5750081
Test_128,5.5156966e-06,5.404393e-06,0.9999889,1.2106e-07
Test_129,1.9444027e-08,2.1899182e-09,1.0,3.7244124e-11
Test_130,4.610772e-10,4.633352e-09,1.717786e-12,1.0
Test_131,3.190065e-08,1.7300182e-07,1.2488913e-10,0.99999976
Test_132,0.9954657,0.0030422618,0.00065219076,0.00083981204
Test_133,3.8219564e-08,2.597793e-07,2.800748e-10,0.99999964
Test_134,0.0010628765,0.0008379016,2.5926873e-05,0.9980732
Test_135,2.1530743e-05,0.00011809361,1.4150232e-06,0.999859
Test_136,1.9577056e-09,3.04422e-08,9.044162e-12,1.0
Test_137,1.0630904e-15,5.1075533e-18,1.0,3.7581727e-22
Test_138,0.0005744019,0.00033213693,0.9990914,2.0428415e-06
Test_139,0.99279755,0.004473003,0.0010897889,0.0016398017
Test_140,1.3423004e-05,2.9700213e-06,0.99998343,1.346231e-07
Test_141,1.8865391e-08,3.0194386e-07,1.9186926e-10,0.99999964
Test_142,4.2481943e-07,2.7468127e-06,1.358809e-08,0.9999968
Test_143,0.00014998623,2.3261724e-05,5.5486015e-07,0.99982625
